id,date,fiscal_quarter,fiscal_month,region,product_name,amount,cost
1,2025-01-15,Q1 2025,Jan,Europe,Product A,128000,84500
2,2025-01-20,Q1 2025,Jan,Asia,Product B,96000,60300
3,2025-02-10,Q1 2025,Feb,America,Product C,142000,95200
4,2025-02-18,Q1 2025,Feb,Africa,Product A,61000,41200
5,2025-03-05,Q1 2025,Mar,Europe,Product B,150000,98700
6,2025-03-22,Q1 2025,Mar,Asia,Product C,99000,71500
7,2025-04-02,Q2 2025,Apr,Europe,Product A,180000,118000
8,2025-04-14,Q2 2025,Apr,America,Product B,132000,86500
9,2025-05-09,Q2 2025,May,Asia,Product C,175000,112400
10,2025-05-27,Q2 2025,May,Africa,Product A,88000,60200
11,2025-06-03,Q2 2025,Jun,Europe,Product B,225000,140300
12,2025-06-19,Q2 2025,Jun,America,Product C,175000,118600
13,2025-07-08,Q3 2025,Jul,Europe,Product A,190000,150200
14,2025-07-21,Q3 2025,Jul,Asia,Product B,140000,89100
15,2025-08-11,Q3 2025,Aug,Europe,Product C,205000,164800
16,2025-08-25,Q3 2025,Aug,Africa,Product A,70000,49500
17,2025-09-06,Q3 2025,Sep,Europe,Product B,210000,171200
18,2025-09-19,Q3 2025,Sep,America,Product C,185000,122900
19,2025-10-03,Q4 2025,Oct,Europe,Product A,230000,148900
20,2025-10-16,Q4 2025,Oct,Asia,Product B,195000,124700
21,2025-11-08,Q4 2025,Nov,America,Product C,210000,136500
22,2025-11-24,Q4 2025,Nov,Africa,Product A,90000,58700
23,2025-12-05,Q4 2025,Dec,Europe,Product B,240000,152300
24,2025-12-20,Q4 2025,Dec,Asia,Product C,230000,145100
